event_id,event_name,event_url,local_date,local_time,utc_datetime,timezone,status,segment,genre,subgenre,artists,venue_name,venue_id,address,city,state,state_code,postal_code,country_code,latitude,longitude,min_price,max_price,currency,image_url
rZ7HnEZ1AfOw7K,FOUR WINDS FEST RAPID CITY,https://www.ticketweb.com/event/four-winds-fest-rapid-city-707-nightlife-tickets/14832113,2026-08-21,19:00:00,2026-08-22T01:00:00Z,America/Denver,onsale,Music,Alternative,Alternative,,707 Nightlife,rZ7HnEZ17jzqS,707 Mountain View Rd,Rapid City,South Dakota,SD,57702,US,44.0800595,-103.252144,22.85,105.25,USD,https://s1.ticketm.net/dam/c/f50/96fa13be-e395-429b-8558-a51bb9054f50_105951_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfPJaK,Brunch: Crash Taylor,https://www.ticketweb.com/event/brunch-crash-taylor-daryls-house-tickets/14966253,2026-08-22,12:00:00,2026-08-22T16:00:00Z,America/New_York,offsale,Music,Folk,Folk Rock,,Daryl's House,rZ7HnEZ171FA7,130 NY-22,Pawling,New York,NY,12564,US,41.534100,-73.584310,0.0,0.0,USD,https://s1.ticketm.net/dam/c/779/d4bc7e11-1b50-4aa4-a2be-0a21569f5779_106531_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfZgJ7,Ladies Night & Noche Sonidera,https://www.ticketweb.com/event/ladies-night-noche-sonidera-la-rumba-tickets/14035984,2026-08-21,19:00:00,2026-08-22T01:00:00Z,America/Denver,onsale,Music,World,Latin,,La Rumba,rZ7HnEZ173pGP,99 W 9th Ave,Denver,Colorado,CO,80204,US,39.73059,-104.98857,14.13,14.13,USD,https://s1.ticketm.net/dam/c/548/5fefbd1c-973b-4b0e-9b2e-d78e4ce37548_106111_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfaS_0,Mark Sherry (All Boat Long),https://www.ticketweb.ca/event/mark-sherry-all-boat-long-empire-sandy-tickets/14273664,2026-08-21,19:30:00,2026-08-21T23:30:00Z,America/Toronto,offsale,Music,Dance/Electronic,Trance,,Empire Sandy,rZ7HnEZ174guI,Harbour Tours - 437 Queens Quay West,Toronto,Ontario,ON,M5V 3T1,CA,43.637760,-79.391710,97.56,97.56,CAD,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg
Z7r9jZ1A7JKj3,Anime NYC: 4 Day Pass,https://www.ticketmaster.com/event/Z7r9jZ1A7JKj3,2026-08-20,,,,onsale,Music,Other,Other,Anime NYC,Javits Convention Center,Z7r9jZakja,445 11th Ave,New York,New York,NY,10001,US,40.750000000,-73.996696000,,,,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_LARGE_16_9.jpg
ZFwVzcymWZ17kb7t,ivy Thursdays presents IVYCHELLA - 20th Aug,https://www.moshtix.com.au/v2/event/ivy-thursdays-presents-ivychella-20th-aug/198129,2026-08-20,21:00:00,2026-08-20T11:00:00Z,Australia/Sydney,offsale,Music,Dance/Electronic,Dance/Electronic,ivy Thursdays,ivy Sydney,KovZ917ARtW,330 George Street,Sydney,New South Wales,NSW,2000,AU,-33.86653696,151.20752289,,,,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg
G5dVZ_1S6fhOl,"Sinfónica de Minería, Abono Sábados ""Temporada de verano"".",https://www.ticketmaster.com.mx/sinfonica-de-mineria-abono-sabados-temporada-mexico-04-07-2026/event/3D0064ACC751B82B,2026-07-04,,,America/Mexico_City,offsale,Music,Classical,Classical/Vocal,Sinfónica de Minería,Sala Silvestre Revueltas,KovZpZAEvekA,Periférico Sur #5141 Col. Isidro Fabela,México,Ciudad de México,CDMX,14030,MX,19.30254940,-99.17327880,,,,https://s1.ticketm.net/dam/a/1c1/3a717d4c-fcaf-451e-95ca-5d7cd90671c1_SOURCE
Z698xZbpZ16vOvuKbP,Anouk + Clouseau | Lockers Large,https://www.ticketmaster.nl/event/anouk--clouseau-%7C-lockers-large-tickets/1801353625?language=en-us,2026-06-27,,,Europe/Amsterdam,cancelled,Music,Other,Other,,Spoorpark LIVE,Z598xZbpZkA6e,Spoorpark 1,Tilburg,,,5038LS,NL,51.56166,5.0707,,,,https://s1.ticketm.net/dam/c/060/c5c08e7a-9912-456c-a060-2758be94e060_105881_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfjOFN,BLUE FRIDAY SPECIAL! Entry to All Shows at the Blue Moon for 2026!,https://www.ticketweb.com/event/blue-friday-special-entry-to-blue-moon-saloon-tickets/14720223,2026-01-01,12:00:00,2026-01-01T18:00:00Z,America/Chicago,offsale,Music,World,World,,Blue Moon Saloon,rZ7HnEZ178s4g,215 E Convent St,Lafayette,Louisiana,LA,70501,US,30.220444,-92.016281,105.97,105.97,USD,https://s1.ticketm.net/dam/c/548/5fefbd1c-973b-4b0e-9b2e-d78e4ce37548_106111_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1AfjOGS,I'm On the List! + 1 (Entry to all shows at the Blue Moon in 2026 for you and a guest and your first drink is on us!),https://www.ticketweb.com/event/im-on-the-list-blue-moon-saloon-tickets/14720333,2026-01-01,12:00:00,2026-01-01T18:00:00Z,America/Chicago,offsale,Music,World,World,,Blue Moon Saloon,rZ7HnEZ178s4g,215 E Convent St,Lafayette,Louisiana,LA,70501,US,30.220444,-92.016281,208.97,208.97,USD,https://s1.ticketm.net/dam/c/548/5fefbd1c-973b-4b0e-9b2e-d78e4ce37548_106111_TABLET_LANDSCAPE_LARGE_16_9.jpg
rZ7HnEZ1A4ZgGK,Buck Wild Line Dancing,https://www.ticketweb.com/event/buck-wild-line-dancing-diamondback-music-hall-tickets/15035313,2026-08-21,21:00:00,2026-08-22T01:00:00Z,America/New_York,offsale,Music,Country,Country,,Diamondback Music Hall,rZ7HnEZ17_apd,49345 S Interstate 94 Service Dr,Belleville,Michigan,MI,48111,US,42.2185947623,-83.5218059153,0.0,43.46,USD,https://s1.ticketm.net/dam/c/677/c58dd0af-cda8-49b2-bdaf-068540c3a677_106541_TABLET_LANDSCAPE_LARGE_16_9.jpg
LvZ18Q0XfPclfu5_WGoSu,Who Killed Marilyn?,https://www.universe.com/events/who-killed-marilyn-tickets-RG7KM0?ref=ticketmaster,2026-08-22,19:30:00,2026-08-22T18:30:00Z,Europe/London,offsale,,,,Marilyn; Theatre,,,,,,,,,,,,,,https://s1.ticketm.net/dam/c/07d/fda8c807-42eb-4b81-9f16-f3a8367e107d_106371_TABLET_LANDSCAPE_LARGE_16_9.jpg
